
sentiment,text
positive,"I love this product! It works perfectly and exceeds my expectations."
positive,"The movie was fantastic, a real joy to watch."
neutral,"The weather is average today, not too hot and not too cold."
neutral,"I received the package. Everything seems normal."
negative,"I hate this service. It was terrible and frustrating."
negative,"The experience was awful. I would not recommend it."
neutral,"I went to the store and bought some items."
positive,"The book was an amazing read with great insights."
negative,"I am very disappointed with the quality of the product."
neutral,"The coffee shop was open and I had my usual latte."
positive,"The concert was absolutely amazing, the best I've been to."


